county,district,leaId,deseCode,zips
Franklin County,Washington School District,fra_washington,,63090 63084 63080 63077 63069 63068 63072 63091 63014
Franklin County,Union R-XI,fra_union,,
Warren County,Warren County R-III (Warrenton),war_warren_county,,63383 63390 63357 63351
Warren County,Wright City R-II,war_wright_city,,
